model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gemini-2.5-flash,100,0,100,0,0.65,0.79,0.55,0.74,0.71,0.87,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gemini-2.5-flash,100,11,100,0,0.64,0.7,0.54,0.73,0.61,0.79,0,-0.010000000000000009,-0.08000000000000007,0.06000000000000005,False,-0.09000000000000008,-0.17000000000000004,-0.010000000000000009,True
gemini-2.5-flash,100,22,100,0,0.63,0.7,0.53,0.72,0.61,0.79,0,-0.020000000000000018,-0.09999999999999998,0.050000000000000044,False,-0.09000000000000008,-0.17000000000000004,-0.010000000000000009,True
gemini-2.5-flash,100,33,100,0,0.62,0.68,0.52,0.71,0.59,0.77,0,-0.030000000000000027,-0.10999999999999999,0.04999999999999993,False,-0.10999999999999999,-0.19000000000000006,-0.030000000000000027,True
gemini-2.5-flash,100,44,100,0,0.61,0.68,0.51,0.7,0.59,0.77,0,-0.040000000000000036,-0.10999999999999999,0.029999999999999916,False,-0.10999999999999999,-0.19000000000000006,-0.030000000000000027,True
gemini-2.5-flash,100,55,100,0,0.63,0.68,0.53,0.72,0.59,0.77,0,-0.020000000000000018,-0.08999999999999997,0.04999999999999993,False,-0.10999999999999999,-0.18999999999999995,-0.030000000000000027,True
gemini-2.5-flash,100,66,100,0,0.61,0.69,0.51,0.7,0.6,0.78,0,-0.040000000000000036,-0.12,0.030000000000000027,False,-0.10000000000000009,-0.18000000000000005,-0.020000000000000018,True
gemini-2.5-flash,100,77,100,0,0.6,0.67,0.5,0.69,0.58,0.76,0,-0.050000000000000044,-0.12,0.020000000000000018,False,-0.12,-0.20000000000000007,-0.040000000000000036,True
gemini-2.5-flash,100,88,100,0,0.6,0.68,0.5,0.69,0.59,0.77,0,-0.050000000000000044,-0.13,0.020000000000000018,False,-0.10999999999999999,-0.19000000000000006,-0.030000000000000027,True
gemini-2.5-flash,100,99,100,0,0.66,0.73,0.57,0.75,0.64,0.81,0,0.010000000000000009,-0.06000000000000005,0.08999999999999997,False,-0.06000000000000005,-0.14,0.020000000000000018,False
